,Model,Metric,Score
584,AdaBoost,F1_score,0.9904761904761905
585,GradientBoost,F1_score,1.0
586,GradientBoost,F1_score,1.0
587,GradientBoost,F1_score,0.702127659574468
588,GradientBoost,F1_score,0.8301886792452831
589,GradientBoost,F1_score,1.0
590,XGBoost,F1_score,0.9411764705882353
591,XGBoost,F1_score,0.9807692307692307
592,XGBoost,F1_score,0.6881720430107527
593,XGBoost,F1_score,0.8349514563106797
594,XGBoost,F1_score,1.0
595,CatBoost,F1_score,0.888888888888889
596,CatBoost,F1_score,0.9904761904761905
597,CatBoost,F1_score,0.702127659574468
598,CatBoost,F1_score,0.8627450980392156
599,CatBoost,F1_score,1.0
600,Decision Tree,F1_score,0.888888888888889
601,Decision Tree,F1_score,0.9292929292929293
602,Decision Tree,F1_score,0.6851851851851852
603,Decision Tree,F1_score,0.8163265306122449
604,Decision Tree,F1_score,0.8760330578512397
605,Linear SVM,F1_score,0.7741935483870969
606,Linear SVM,F1_score,0.9607843137254902
607,Linear SVM,F1_score,0.64
608,Linear SVM,F1_score,0.9111111111111111
609,Linear SVM,F1_score,0.8793103448275862
610,DT-based Bagging,F1_score,0.9024390243902439
611,DT-based Bagging,F1_score,1.0
612,DT-based Bagging,F1_score,0.702127659574468
613,DT-based Bagging,F1_score,0.8190476190476191
614,DT-based Bagging,F1_score,0.9904761904761905
615,RandomForest,F1_score,0.9156626506024096
616,RandomForest,F1_score,0.970873786407767
617,RandomForest,F1_score,0.6875
618,RandomForest,F1_score,0.8224299065420562
619,RandomForest,F1_score,0.9904761904761905
620,AdaBoost,F1_score,0.8910891089108911
621,AdaBoost,F1_score,1.0
622,AdaBoost,F1_score,0.7096774193548386
623,AdaBoost,F1_score,0.7927927927927928
624,AdaBoost,F1_score,0.9807692307692307
625,GradientBoost,F1_score,1.0
626,GradientBoost,F1_score,1.0
627,GradientBoost,F1_score,0.702127659574468
628,GradientBoost,F1_score,0.8301886792452831
629,GradientBoost,F1_score,1.0
630,XGBoost,F1_score,0.9411764705882353
631,XGBoost,F1_score,0.9807692307692307
632,XGBoost,F1_score,0.6881720430107527
633,XGBoost,F1_score,0.8349514563106797
634,XGBoost,F1_score,1.0
635,CatBoost,F1_score,0.888888888888889
636,CatBoost,F1_score,0.9904761904761905
637,CatBoost,F1_score,0.702127659574468
638,CatBoost,F1_score,0.8627450980392156
639,CatBoost,F1_score,1.0
640,Decision Tree,F1_score,0.888888888888889
641,Decision Tree,F1_score,0.9292929292929293
